interval_start,interval_end,ch1_mean,ch2_mean,ch3_mean,ch4_mean,ch1_std,ch2_std,ch3_std,ch4_std
2.5e-05,7.500000000000001e-05,1.3353829255655894,3.8179456277237396,1.9178439971692478,3.5061983357559514,0.3302208666487698,1.0896562744130913,0.717631708346787,1.3892375761888105
7.500000000000001e-05,0.000125,1.8029650946693212,2.841253948702762,1.7186977268009191,1.3777066751852944,0.17091648779325178,1.8263251391606647,0.4036381401291707,0.8721393140212975
0.000125,0.000175,1.757764521538903,2.8190630305469275,3.159751861615658,1.2398815586635987,0.19957135447304475,1.6000088421174288,1.1602149746467108,0.6299545168011547
0.000175,0.000225,2.1050280314706433,4.659865371653377,3.125295351095632,1.431811602233711,0.5656192343559789,0.34036719790476394,1.1965353258016558,0.42764248710218417
0.000225,0.000275,3.340969234991448,4.422628464700751,1.218629228793782,1.9501547865265387,0.7371771847025085,0.5904368549126756,0.8132672355166808,0.9740241777654339
0.000275,0.000325,4.281391187015179,3.475363510586689,0.37438260850586047,2.7896974026009937,0.2541145919696845,0.40806807930576516,0.07664684015303634,0.08906855790824408
0.000325,0.000375,2.4099449429679405,2.887474483083906,0.6594538145610948,3.817153363024577,2.2267921418885512,0.21162136680428953,0.3771382756416112,1.172102234726358
0.000375,0.000425,0.9996528752965501,2.697517495376008,1.819527953387683,3.2244564569849565,0.7402137752519142,0.01138912059710118,0.8456872354751855,1.7968596297996942
0.000425,0.000475,3.209312206422952,3.1973065497635496,1.8949350079899332,3.074877011885237,1.5889716712159607,0.5154347998983657,0.7662012207459211,1.6391890505799522
0.000475,0.000525,2.530456419747554,4.018229605232951,1.3541988383808437,3.3322534386675406,2.3045485007758413,0.34989407977765224,0.19621525101264017,1.3678904756907375
0.000525,0.000575,0.52985559351965,3.040461389317461,1.675847509003923,1.129433725360631,0.19573006754420633,1.380552275115067,0.14283221749876696,0.954085380565581
0.000575,0.000625,1.1128660319129622,1.0056382401153678,1.348384365436216,0.5400788979820494,0.4188168941145084,0.7643396539233492,0.4880086786429907,0.33285084572168766
0.000625,0.000675,1.090589466528343,0.23382230713752636,2.4082776707273323,2.916593323107919,0.4422984558015287,0.04922577361593195,1.605234319137698,2.172215312826124
